,MIN,PTS,AST,LEADER
0,843.0,394.0,40.0,NONLEADER
1,22216.0,10247.0,2070.0,NONLEADER
2,8288.0,3244.0,1039.0,NONLEADER
3,5969.0,2455.0,301.0,NONLEADER
4,5322.0,2256.0,353.0,NONLEADER
5,88.0,44.0,1.0,NONLEADER
6,153.0,47.0,12.0,NONLEADER
7,627.0,199.0,20.0,NONLEADER
8,561.0,218.0,57.0,NONLEADER
9,2428.0,884.0,149.0,NONLEADER
10,636.0,226.0,94.0,NONLEADER
11,21757.0,10500.0,1916.0,NONLEADER
12,1569.0,759.0,132.0,NONLEADER
13,9170.0,2807.0,1164.0,NONLEADER
14,96.0,29.0,3.0,NONLEADER
15,14057.0,5535.0,724.0,NONLEADER
16,324.0,114.0,6.0,NONLEADER
17,25.0,10.0,1.0,NONLEADER
18,7921.0,4474.0,1130.0,NONLEADER
19,35801.0,14648.0,3621.0,NONLEADER
20,3436.0,1476.0,392.0,NONLEADER
21,5934.0,2142.0,365.0,NONLEADER
22,5428.0,1919.0,912.0,NONLEADER
23,29487.0,16374.0,2095.0,NONLEADER
24,28777.0,13570.0,1484.0,NONLEADER
25,1487.0,339.0,127.0,NONLEADER
26,10385.0,5822.0,1261.0,NONLEADER
27,2841.0,971.0,307.0,NONLEADER
28,28461.0,19985.0,2134.0,NONLEADER
29,12930.0,8832.0,1561.0,NONLEADER
30,2088.0,753.0,120.0,NONLEADER
31,380.0,168.0,24.0,NONLEADER
32,19.0,8.0,2.0,NONLEADER
33,217.0,48.0,11.0,NONLEADER
34,67.0,14.0,1.0,NONLEADER
35,2675.0,1043.0,232.0,NONLEADER
36,8144.0,3870.0,1157.0,NONLEADER
37,7814.0,2856.0,912.0,NONLEADER
38,17131.0,8760.0,2011.0,NONLEADER
39,238.0,68.0,22.0,NONLEADER
40,5774.0,3240.0,359.0,NONLEADER
41,1973.0,568.0,130.0,NONLEADER
42,12830.0,5265.0,3003.0,NONLEADER
43,3663.0,1259.0,309.0,NONLEADER
44,17531.0,4528.0,630.0,NONLEADER
45,2029.0,613.0,354.0,NONLEADER
46,16123.0,8479.0,920.0,NONLEADER
47,17.0,0.0,1.0,NONLEADER
48,15177.0,7544.0,1696.0,NONLEADER
49,2735.0,1236.0,124.0,NONLEADER
50,4495.0,2570.0,692.0,NONLEADER
51,27403.0,17187.0,3411.0,NONLEADER
52,155.0,78.0,9.0,NONLEADER
53,3368.0,1253.0,454.0,NONLEADER
54,2346.0,1101.0,176.0,NONLEADER
55,6392.0,3136.0,409.0,NONLEADER
56,16315.0,9656.0,2130.0,NONLEADER
57,3307.0,1847.0,273.0,NONLEADER
58,1195.0,609.0,181.0,NONLEADER
59,463.0,184.0,31.0,NONLEADER
60,1773.0,879.0,141.0,NONLEADER
61,135.0,52.0,14.0,NONLEADER
62,33248.0,17401.0,1594.0,NONLEADER
63,13832.0,4985.0,1363.0,NONLEADER
64,2883.0,1113.0,199.0,NONLEADER
65,1701.0,561.0,107.0,NONLEADER
66,26519.0,13770.0,2350.0,NONLEADER
67,6883.0,4456.0,1501.0,NONLEADER
68,2230.0,618.0,80.0,NONLEADER
69,8454.0,2867.0,578.0,NONLEADER
70,10176.0,5016.0,729.0,NONLEADER
71,10725.0,4651.0,1871.0,NONLEADER
72,41.0,13.0,5.0,NONLEADER
73,7879.0,3035.0,402.0,NONLEADER
74,199.0,78.0,25.0,NONLEADER
75,4980.0,3255.0,442.0,NONLEADER
76,1594.0,974.0,73.0,NONLEADER
77,19011.0,9752.0,2765.0,NONLEADER
78,2133.0,666.0,303.0,NONLEADER
79,3398.0,1071.0,275.0,NONLEADER
80,1244.0,488.0,93.0,NONLEADER
81,3120.0,1743.0,248.0,NONLEADER
82,5252.0,2050.0,369.0,NONLEADER
83,1120.0,266.0,47.0,NONLEADER
84,7216.0,3612.0,201.0,NONLEADER
85,3232.0,1348.0,231.0,NONLEADER
86,169.0,47.0,7.0,NONLEADER
87,4003.0,1237.0,289.0,NONLEADER
88,27411.0,16784.0,3320.0,NONLEADER
89,17403.0,7954.0,676.0,NONLEADER
90,12321.0,6241.0,1585.0,NONLEADER
91,6627.0,1905.0,669.0,NONLEADER
92,1036.0,228.0,57.0,NONLEADER
93,764.0,232.0,64.0,NONLEADER
94,7836.0,3970.0,1207.0,NONLEADER
95,194.0,65.0,11.0,NONLEADER
96,669.0,190.0,39.0,NONLEADER
97,473.0,182.0,70.0,NONLEADER
98,12020.0,7551.0,1485.0,NONLEADER
99,7563.0,3229.0,431.0,NONLEADER
100,19596.0,6305.0,2710.0,NONLEADER
101,1038.0,414.0,177.0,NONLEADER
102,10.0,3.0,0.0,NONLEADER
103,23856.0,13856.0,4577.0,NONLEADER
104,69.0,14.0,6.0,NONLEADER
105,33.0,24.0,0.0,NONLEADER
106,1238.0,331.0,181.0,NONLEADER
107,3938.0,1908.0,512.0,NONLEADER
108,1748.0,556.0,186.0,NONLEADER
109,1402.0,652.0,64.0,NONLEADER
110,32612.0,22598.0,6069.0,NONLEADER
111,6159.0,2447.0,419.0,NONLEADER
112,9983.0,4617.0,534.0,NONLEADER
113,11325.0,4291.0,724.0,NONLEADER
114,10.0,0.0,0.0,NONLEADER
115,6463.0,2140.0,762.0,NONLEADER
116,1987.0,556.0,97.0,NONLEADER
117,13900.0,6329.0,1140.0,NONLEADER
118,108.0,51.0,5.0,NONLEADER
119,12466.0,7065.0,2507.0,NONLEADER
120,0.0,0.0,0.0,NONLEADER
121,638.0,220.0,46.0,NONLEADER
122,4363.0,1596.0,285.0,NONLEADER
123,8168.0,2678.0,1248.0,NONLEADER
124,2772.0,1237.0,230.0,NONLEADER
125,19901.0,12858.0,3654.0,NONLEADER
126,11208.0,5715.0,565.0,NONLEADER
127,8147.0,3231.0,988.0,NONLEADER
128,12271.0,6542.0,649.0,NONLEADER
129,30444.0,10412.0,1217.0,NONLEADER
130,5397.0,1446.0,277.0,NONLEADER
131,14745.0,7803.0,2718.0,NONLEADER
132,15611.0,5183.0,2312.0,NONLEADER
133,40906.0,25078.0,4823.0,NONLEADER
134,9532.0,3917.0,983.0,NONLEADER
135,28923.0,14519.0,5185.0,NONLEADER
136,2062.0,775.0,144.0,NONLEADER
137,10104.0,3567.0,366.0,NONLEADER
138,16038.0,7284.0,2382.0,NONLEADER
139,9002.0,5394.0,1143.0,NONLEADER
140,22861.0,16239.0,3470.0,NONLEADER
141,297.0,115.0,34.0,NONLEADER
142,8190.0,4180.0,772.0,NONLEADER
143,14377.0,6893.0,977.0,NONLEADER
144,422.0,105.0,46.0,NONLEADER
