,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF
0,0,1,0,0,0,1
1,1,0,1,1,1,0
2,0,1,0,0,0,1
3,1,0,1,0,0,0
4,0,0,1,1,1,0
5,1,1,0,0,0,1
6,0,0,1,1,1,0
7,1,1,0,0,0,0
8,1,1,0,1,0,1
9,0,0,1,0,1,0
10,0,0,1,1,1,0
11,1,1,0,0,0,1
12,0,1,0,0,0,1
13,1,0,0,1,1,0
14,1,0,0,1,1,1
15,0,1,1,0,0,0
16,0,1,0,0,0,0
17,1,0,1,1,1,1
18,1,0,0,0,0,1
19,0,1,1,0,1,0
20,0,0,0,1,1,1
21,1,1,1,0,0,0
22,0,0,0,0,1,1
23,0,1,1,1,0,0
24,1,0,0,0,1,0
25,0,1,1,1,0,1
26,1,0,0,0,0,1
27,0,0,1,1,1,0
28,1,0,0,1,1,0
29,0,1,1,0,0,0
30,1,1,0,1,0,0
31,0,0,0,0,1,1
32,1,0,1,1,0,0
33,0,1,0,0,1,1
34,1,1,0,1,0,1
35,0,0,1,0,1,0
36,0,1,0,1,1,1
37,1,0,1,0,0,0
38,1,1,1,1,0,0
39,0,0,0,0,1,1
40,1,1,1,1,0,1
41,0,0,0,0,1,0
42,0,1,0,0,0,1
43,0,0,1,1,1,0
44,0,1,1,0,0,1
45,1,0,0,1,1,0
46,0,1,1,0,0,0
47,1,0,0,1,1,0
48,0,1,1,0,0,0
49,0,0,0,1,1,1
50,1,1,0,1,1,0
51,0,0,0,0,0,1
52,0,1,1,1,1,1
53,1,0,0,0,0,0
54,0,0,0,0,1,0
55,1,1,1,1,0,1
56,1,0,0,0,0,1
57,0,0,1,1,1,0
58,0,1,0,0,1,1
59,1,0,1,0,0,0
60,0,1,1,1,1,0
61,1,0,0,0,0,1
62,0,0,1,0,0,0
63,1,0,0,1,1,0
64,1,0,1,1,1,0
65,0,1,0,0,0,1
66,0,0,0,1,1,0
67,1,1,0,0,0,1
68,0,1,0,0,1,0
69,0,0,1,1,0,0
70,0,0,0,0,1,1
71,1,0,1,1,0,0
72,0,1,1,0,0,0
73,1,0,0,1,1,1
74,0,1,1,1,1,0
75,1,0,0,0,0,1
76,0,1,1,0,1,1
77,1,0,0,1,0,0
78,1,0,1,1,1,0
79,0,1,0,0,0,1
80,0,0,1,1,1,0
81,0,1,0,0,0,0
82,0,1,0,1,1,1
83,1,0,1,0,0,0
84,0,1,0,0,1,1
85,1,0,1,1,0,0
86,0,1,1,0,0,0
87,1,0,0,1,1,1
88,0,1,1,1,0,1
89,1,0,0,0,1,0
90,0,0,0,1,1,1
91,0,1,1,0,0,0
92,1,1,0,0,0,1
93,0,0,1,1,1,0
94,0,1,1,0,1,0
95,1,0,0,1,0,1
96,0,1,0,0,0,1
97,1,0,1,1,1,0
98,1,0,0,1,0,1
99,0,1,0,0,1,0
100,0,1,1,1,1,0
101,1,0,0,0,0,1
102,1,0,0,0,1,1
103,0,1,1,0,0,0
104,1,0,1,0,1,1
105,0,1,0,1,0,0
106,0,1,1,0,0,0
107,1,0,0,1,1,1
108,1,0,0,0,0,1
109,0,1,1,1,0,0
110,1,0,1,1,1,0
111,0,1,0,0,0,1
112,0,1,0,0,1,1
113,1,0,1,1,0,0
114,1,0,1,0,0,0
115,0,1,0,1,1,1
116,1,0,0,1,1,1
117,0,1,1,0,0,0
118,1,0,0,0,1,1
119,0,1,1,1,0,0
120,0,0,1,0,0,0
121,1,0,0,1,1,1
122,0,0,1,0,0,0
123,1,1,0,1,0,1
124,0,1,1,1,1,0
125,1,0,0,0,0,1
126,0,0,0,0,1,1
127,1,1,1,1,0,0
128,0,1,0,0,0,1
129,1,0,0,1,1,0
130,1,0,0,1,1,1
131,0,1,0,0,0,0
132,1,0,1,1,1,1
133,0,1,0,0,0,0
134,0,0,1,0,1,0
135,1,1,0,1,0,1
136,1,1,1,0,0,0
137,0,0,0,1,1,1
138,0,0,0,1,1,1
139,0,1,1,0,0,0
140,1,0,1,0,0,0
141,0,1,0,1,1,1
142,1,0,1,1,1,0
143,0,1,0,0,0,1
144,0,1,0,0,0,0
145,0,0,1,1,1,1
146,0,1,1,1,0,1
147,1,0,0,0,0,0
148,0,0,1,0,0,0
149,1,1,0,1,1,1
150,0,1,1,1,0,0
151,1,0,0,0,1,1
152,1,0,0,1,0,0
153,0,1,1,0,1,0
154,1,0,1,1,1,0
155,0,1,0,0,0,1
156,0,0,0,0,1,1
157,1,1,1,1,0,0
158,0,1,1,0,0,0
159,1,0,0,1,1,1
160,1,0,1,1,1,0
161,0,1,0,0,0,1
162,1,0,1,0,0,0
163,0,1,0,1,1,1
164,1,0,1,0,0,0
165,0,1,0,1,1,1
166,1,0,0,0,0,0
167,0,1,0,0,1,1
168,0,1,0,0,0,1
169,1,0,1,1,1,0
170,1,1,0,0,0,0
171,0,0,1,1,1,0
172,1,0,0,1,1,1
173,0,1,1,0,0,0
174,1,0,0,1,0,1
175,0,1,1,0,0,0
176,1,0,1,0,0,0
177,0,1,0,1,1,1
178,0,0,0,0,0,1
179,1,1,1,1,0,0
180,0,1,0,0,1,0
181,1,0,0,1,0,1
182,1,0,0,1,1,1
183,0,1,1,0,0,0
184,0,0,0,1,1,1
185,1,1,1,0,0,0
186,1,0,0,0,0,0
187,0,1,1,1,1,1
188,0,1,0,0,1,1
189,1,0,1,1,0,0
190,0,1,1,1,0,0
191,1,0,0,0,1,1
192,0,1,1,1,1,0
193,1,0,0,0,0,0
194,0,1,1,0,0,0
195,1,0,0,1,0,1
196,1,0,0,0,0,1
197,0,1,1,1,0,0
198,0,0,1,0,1,0
199,1,1,0,1,0,1
200,1,0,1,1,0,0
201,0,1,0,0,1,1
202,0,1,1,0,0,1
203,1,0,0,1,1,0
204,0,1,0,1,0,0
205,0,0,1,0,1,0
206,0,0,0,1,1,0
