,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,VIOLATION,SUBSTITUTION,EJECTION,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF,TEAM_NAME,GAME_ID,WL
0,18,40,6,24,4,15,0,14,0,-4,17,-9,-9,-5,8,Warriors,0022300062,L
1,22,23,15,33,9,7,1,13,0,4,-17,9,9,5,-8,Suns,0022300062,W
2,22,27,6,24,5,12,1,13,0,-2,3,-5,0,0,9,Lakers,0022300061,L
3,24,24,11,24,5,3,0,11,0,2,-3,5,0,0,-9,Nuggets,0022300061,W
4,22,20,17,25,7,7,0,14,0,-3,-5,14,3,2,-6,Nets,0022300067,L
5,25,25,3,22,5,13,0,13,0,3,5,-14,-3,-2,6,Cavaliers,0022300067,W
6,27,16,8,22,10,8,0,13,0,-1,-11,1,3,6,0,Pacers,0022300064,W
7,28,27,7,19,4,8,0,11,0,1,11,-1,-3,-6,0,Wizards,0022300064,L
8,20,25,9,27,8,11,0,10,0,4,7,-2,12,-2,3,Magic,0022300066,W
9,16,18,11,15,10,8,0,15,0,-4,-7,2,-12,2,-3,Rockets,0022300066,L
10,19,25,20,27,7,7,1,12,0,-8,-1,14,2,1,-6,Jazz,0022300072,L
11,27,26,6,25,6,13,0,13,0,8,1,-14,-2,-1,6,Kings,0022300072,W
12,19,27,7,17,11,12,2,12,0,-7,7,0,-8,-1,3,Trail Blazers,0022300074,L
13,26,20,7,25,12,9,0,12,0,7,-7,0,8,1,-3,Clippers,0022300074,W
14,20,22,4,25,7,10,0,11,0,3,-11,-6,1,3,3,Celtics,0022300065,W
15,17,33,10,24,4,7,0,11,0,-3,11,6,-1,-3,-3,Knicks,0022300065,L
16,17,30,8,18,6,11,3,13,0,-2,10,-5,-10,-5,-1,Grizzlies,0022300071,L
17,19,20,13,28,11,12,1,11,0,2,-10,5,10,5,1,Pelicans,0022300071,W
18,26,22,11,22,7,11,1,16,0,3,-1,-3,0,-1,2,Spurs,0022300073,L
19,23,23,14,22,8,9,0,14,0,-3,1,3,0,1,-2,Mavericks,0022300073,W
20,18,23,7,27,14,12,0,14,0,-2,-3,-9,6,10,4,Pistons,0022300068,L
21,20,26,16,21,4,8,1,15,0,2,3,9,-6,-10,-4,Heat,0022300068,W
22,19,21,14,24,12,11,0,13,0,0,-8,-4,-2,4,1,Hornets,0022300063,W
23,19,29,18,26,8,10,0,10,0,0,8,4,2,-4,-1,Hawks,0022300063,L
24,21,20,13,22,10,12,0,16,0,2,-8,-2,-1,2,-1,Thunder,0022300070,W
25,19,28,15,23,8,13,0,14,0,-2,8,2,1,-2,1,Bulls,0022300070,L
26,18,32,13,24,6,14,0,16,0,2,0,-7,-8,-1,4,Raptors,0022300069,W
27,16,32,20,32,7,10,1,13,0,-2,0,7,8,1,-4,Timberwolves,0022300069,L
28,23,17,17,25,8,13,1,15,0,5,-2,-3,9,1,0,Bucks,0022300075,W
29,18,19,20,16,7,13,0,12,0,-5,2,3,-9,-1,0,76ers,0022300075,L
30,19,25,12,27,7,9,2,11,0,1,2,0,5,-3,-4,Suns,0022300076,L
31,18,23,12,22,10,13,0,12,0,-1,-2,0,-5,3,4,Lakers,0022300076,W
32,23,20,17,23,6,6,0,10,0,1,-3,9,3,-1,-9,Magic,0022300086,W
33,22,23,8,20,7,15,0,12,0,-1,3,-9,-3,1,9,Trail Blazers,0022300086,L
34,23,23,10,19,8,12,1,12,0,4,7,-2,4,-2,1,Jazz,0022300085,W
35,19,16,12,15,10,11,0,10,0,-4,-7,2,-4,2,-1,Clippers,0022300085,L
36,22,24,5,24,9,12,0,10,0,-1,2,-1,4,1,4,Nets,0022300084,L
37,23,22,6,20,8,8,0,12,0,1,-2,1,-4,-1,-4,Mavericks,0022300084,W
38,24,23,7,22,7,8,1,14,0,2,1,2,2,-2,-1,Warriors,0022300087,W
39,22,22,5,20,9,9,0,13,0,-2,-1,-2,-2,2,1,Kings,0022300087,L
40,24,21,14,20,6,11,0,10,0,2,1,2,3,-3,2,Knicks,0022300079,W
41,22,20,12,17,9,9,1,10,0,-2,-1,-2,-3,3,-2,Hawks,0022300079,L
42,21,24,4,17,7,10,0,14,0,0,1,-9,-8,-2,3,Spurs,0022300083,W
43,21,23,13,25,9,7,1,12,0,0,-1,9,8,2,-3,Rockets,0022300083,L
44,16,30,12,20,11,13,2,11,0,-4,10,1,-5,-4,1,Hornets,0022300077,L
45,20,20,11,25,15,12,0,15,0,4,-10,-1,5,4,-1,Pistons,0022300077,W
46,15,31,12,25,7,8,1,16,0,-5,5,4,-3,-1,0,Cavaliers,0022300081,L
47,20,26,8,28,8,8,1,13,0,5,-5,-4,3,1,0,Thunder,0022300081,W
48,16,29,7,24,8,7,1,12,0,0,5,5,-1,-3,-4,Bulls,0022300082,W
49,16,24,2,25,11,11,0,13,0,0,-5,-5,1,3,4,Raptors,0022300082,L
50,24,28,7,30,9,7,2,10,0,3,1,0,5,2,-1,Celtics,0022300080,W
51,21,27,7,25,7,8,0,12,0,-3,-1,0,-5,-2,1,Heat,0022300080,L
52,19,26,16,28,11,12,0,16,0,-4,1,5,7,5,2,Grizzlies,0022300078,L
53,23,25,11,21,6,10,1,13,0,4,-1,-5,-7,-5,-2,Nuggets,0022300078,W
54,21,19,10,17,8,9,0,12,0,-1,-4,-1,-2,4,-2,Raptors,0022300092,L
55,22,23,11,19,4,11,0,9,0,1,4,1,2,-4,2,76ers,0022300092,W
56,24,29,8,26,2,10,1,12,0,4,0,-1,-2,-3,1,Pacers,0022300091,W
57,20,29,9,28,5,9,1,10,0,-4,0,1,2,3,-1,Cavaliers,0022300091,L
58,20,24,4,21,9,10,0,13,0,-3,4,-9,0,6,1,Jazz,0022300094,L
59,23,20,13,21,3,9,0,13,0,3,-4,9,0,-6,-1,Suns,0022300094,W
60,15,30,6,28,10,6,0,9,0,-8,7,1,5,4,-5,Knicks,0022300090,L
61,23,23,5,23,6,11,0,15,0,8,-7,-1,-5,-4,5,Pelicans,0022300090,W
62,22,23,6,21,5,7,0,8,0,-2,0,3,-3,-1,0,Heat,0022300093,L
63,24,23,3,24,6,7,0,11,0,2,0,-3,3,1,0,Timberwolves,0022300093,W
64,23,15,7,20,6,7,0,14,0,4,-13,3,2,2,-1,Pistons,0022300088,W
65,19,28,4,18,4,8,0,12,0,-4,13,-3,-2,-2,1,Bulls,0022300088,L
66,15,28,8,27,8,8,1,16,0,-6,-1,0,4,4,-1,Grizzlies,0022300089,L
67,21,29,8,23,4,9,0,12,0,6,1,0,-4,-4,1,Wizards,0022300089,W
68,20,24,19,21,7,14,0,12,0,0,4,-5,-1,1,0,Trail Blazers,0022300098,L
69,20,20,24,22,6,14,0,10,0,0,-4,5,1,-1,0,76ers,0022300098,W
