,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,VIOLATION,SUBSTITUTION,EJECTION,FGA
0,18,40,6,24,4,15,0,14,0,58
1,22,23,15,33,9,7,1,13,0,45
2,22,27,6,24,5,12,1,13,0,49
3,24,24,11,24,5,3,0,11,0,48
4,22,20,17,25,7,7,0,14,0,42
5,25,25,3,22,5,13,0,13,0,50
6,27,16,8,22,10,8,0,13,0,43
7,28,27,7,19,4,8,0,11,0,55
8,20,25,9,27,8,11,0,10,0,45
9,16,18,11,15,10,8,0,15,0,34
10,19,25,20,27,7,7,1,12,0,44
11,27,26,6,25,6,13,0,13,0,53
12,19,27,7,17,11,12,2,12,0,46
13,26,20,7,25,12,9,0,12,0,46
14,20,22,4,25,7,10,0,11,0,42
15,17,33,10,24,4,7,0,11,0,50
16,17,30,8,18,6,11,3,13,0,47
17,19,20,13,28,11,12,1,11,0,39
18,26,22,11,22,7,11,1,16,0,48
19,23,23,14,22,8,9,0,14,0,46
20,18,23,7,27,14,12,0,14,0,41
21,20,26,16,21,4,8,1,15,0,46
22,19,21,14,24,12,11,0,13,0,40
23,19,29,18,26,8,10,0,10,0,48
24,21,20,13,22,10,12,0,16,0,41
25,19,28,15,23,8,13,0,14,0,47
26,18,32,13,24,6,14,0,16,0,50
27,16,32,20,32,7,10,1,13,0,48
28,23,17,17,25,8,13,1,15,0,40
29,18,19,20,16,7,13,0,12,0,37
30,19,25,12,27,7,9,2,11,0,44
31,18,23,12,22,10,13,0,12,0,41
32,23,20,17,23,6,6,0,10,0,43
33,22,23,8,20,7,15,0,12,0,45
34,23,23,10,19,8,12,1,12,0,46
35,19,16,12,15,10,11,0,10,0,35
36,22,24,5,24,9,12,0,10,0,46
37,23,22,6,20,8,8,0,12,0,45
38,24,23,7,22,7,8,1,14,0,47
39,22,22,5,20,9,9,0,13,0,44
40,24,21,14,20,6,11,0,10,0,45
41,22,20,12,17,9,9,1,10,0,42
42,21,24,4,17,7,10,0,14,0,45
43,21,23,13,25,9,7,1,12,0,44
44,16,30,12,20,11,13,2,11,0,46
45,20,20,11,25,15,12,0,15,0,40
46,15,31,12,25,7,8,1,16,0,46
47,20,26,8,28,8,8,1,13,0,46
