,Source,Title,Description,Published At
0,"{'id': 'espn', 'name': 'ESPN'}",Nuggets snap skid but see Westbrook exit early,Nuggets guard Russell Westbrook left Friday night's game in Philadelphia because of left hamstring tightness.,2025-02-01T04:21:47Z
1,"{'id': 'espn', 'name': 'ESPN'}","Jokic, Russ make NBA history with triple-doubles","Denver's Nikola Jokic and Russell Westbrook made NBA history on Friday night, becoming the first pair of teammates to record a triple-double in the same game multiple times in a single season.",2025-01-11T06:13:31Z
2,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",The 5 Most Overrated Trade Targets Ahead of 2025 NBA Trade Deadline,The 2024-25 campaign could provide us with one of the more interesting NBA trade seasons in recent memory. It's our first year with the new CBA's full array…,2025-01-11T12:00:00Z
3,"{'id': None, 'name': 'BBC News'}",Young's buzzer-beater seals win for Atlanta Hawks,Trae Young scores a dramatic buzzer-beater to earn the Atlanta Hawks a thrilling 124-121 win over the Utah Jazz in the NBA.,2025-01-08T07:55:17Z
4,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}","Broncos' 2025 Free Agents, Targets and Draft Needs After NFL Playoff Loss","From a big-picture perspective, the Denver Broncos can't be much more pleased with how things unfolded in 2024. While Sean Payton failed to lead Denver to the…",2025-01-12T21:07:31Z
5,"{'id': 'espn', 'name': 'ESPN'}","NBA Power Rankings: Kings, Pacers and Wolves catch their groove",A few teams have gotten off to hot starts in 2025 and others ... not so much. Here is where all 30 teams stack up in this week's NBA Power Rankings.,2025-01-15T12:34:35Z
6,"{'id': None, 'name': 'Yahoo Entertainment'}","Fantasy Basketball Trade Tips: Sell High on Westbrook, Markkanen",Russell Westbrook has played great lately. Is now the time to deal him? RotoWire expert Mike Barner analyzes potential fantasy trade situations around the NBA.,2025-01-15T07:39:00Z
7,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",Fans Theorize Drake Dissed LeBron James on 'Fighting Irish' Song amid Kendrick Beef,"Superstar rapper Drake seemingly took some shots at NBA legend LeBron James in his new freestyle entitled Fighting Irish, which dropped Friday. Multiple X…",2025-01-03T21:40:31Z
8,"{'id': 'espn', 'name': 'ESPN'}",SGA lifts Thunder with career-high 54 to top Jazz,- Shai Gilgeous-Alexander scored a career-high 54 points and the Oklahoma City Thunder defeated the Utah Jazz 123-114 on Wednesday night.,2025-01-23T04:48:50Z
9,"{'id': None, 'name': 'SB Nation'}","Russell Westbrook warned Clippers center to box him out, then grabbed putback over him","Russell Westbrook still has that dog in him, and this rebound proved it.",2025-01-09T14:32:39Z
10,"{'id': None, 'name': 'SNY.tv'}",Nets start West Coast road trip with 124-105 loss to Nuggets,"Nikola Jokic had 35 points, 15 assists and 12 rebounds in his return to the lineup, Russell Westbrook had 25 points, 11 rebounds and 10 assists and the Denver Nuggets beat the Brooklyn Nets 124-105 on Friday night.",2025-01-11T04:55:49Z
11,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}","Nuggets' Nikola Jokić, Russell Westbrook Set NBA Record with Triple-Doubles vs. Nets","In addition to helping the Denver Nuggets secure their sixth win in the past eight games on Friday night, Nikola Jokić and Russell Westbrook made history…",2025-01-11T13:01:08Z
12,"{'id': None, 'name': 'CBS Sports'}",Russell Westbrook having late-career renaissance in Denver fueled by unique chemistry with Nikola Jokic,Westbrook's impact is all over a Nuggets team that has quietly climbed into the top four,2025-01-11T14:33:22Z
13,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",LeBron James Amazes NBA Fans with Historic Triple-Double in Lakers' Win vs. Wizards,LeBron James is proof that age is just a number after recording his third triple-double since turning 40 in the Los Angeles Lakers' 111-88 win over the…,2025-01-22T12:47:24Z
14,"{'id': None, 'name': 'Yahoo Entertainment'}",Russell Westbrook scores and draws the foul,"Russell Westbrook scores and draws the foul, 01/12/2025",2025-01-12T22:28:36Z
15,"{'id': None, 'name': 'Forbes'}",Rockets Center Alperen Sengun Selected To All-Star Game,The selection represents a milestone for the rebuilt Rockets.,2025-02-01T03:03:17Z
16,"{'id': 'espn', 'name': 'ESPN'}","Wemby's homecoming, LeBron vs. Steph: NBA insiders breakdown biggest NBA Rivals Week matchups","Our NBA insiders break down the biggest Rivals Week matchups, including a finals rematch, Wemby's homecoming and a Western Conference showdown.",2025-01-24T12:36:32Z
17,"{'id': 'espn', 'name': 'ESPN'}",'There's no bad shot for him': Kevin Durant's current and former teammates on what makes him great,"Entering Friday's game against the Golden State Warriors, Durant is 94 points shy of 30,000.",2025-01-31T12:37:57Z
18,"{'id': 'espn', 'name': 'ESPN'}",Power Rankings: Top contenders hold steady while Pistons climb,"A week from the trade deadline, our NBA insiders break down this week's power rankings for all 30 teams.",2025-01-29T12:42:56Z
19,"{'id': 'espn', 'name': 'ESPN'}",Risers and fallers: Russell Westbrook turns back the clock,"Steve Alexander highlights five names trending upwards and five downwards, with key takeaways for each.",2025-01-10T17:52:58Z
20,"{'id': 'fox-sports', 'name': 'Fox Sports'}","With NBA trade deadline looming, Anthony Davis — not LeBron James — is putting pressure on Lakers","With the trade deadline fast approaching, Anthony Davis made it clear he'd like the Lakers to get another big.",2025-01-27T21:41:41Z
21,"{'id': None, 'name': 'CBS Sports'}","Thunder's Shai Gilgeous-Alexander scores career-high 54 points vs. Jazz, continues to add to MVP case",Gilgeous-Alexander scored 50 points for first time in career,2025-01-23T04:59:18Z
22,"{'id': None, 'name': 'New York Post'}",Russell Westbrook falls just short of a double-double after stat correction in NBA betting controversy,"On Tuesday, a group of bettors went wild after they wagered on Russell Westbrook to record a double-double against the 76ers.",2025-01-22T19:51:43Z
23,"{'id': None, 'name': 'Forbes'}",Why Aaron Gordon May Be The Key To A Better Denver Nuggets Bench,"Aaron Gordon has been key to an improved Nuggets bench. Even when he returns to the starting lineup, Denver will need more of him when Nikola Jokic is off the court.",2025-01-21T16:27:42Z
24,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Friday,Eric Moody breaks down Friday's games and offers his top fantasy streamers and favorite bets.,2025-01-31T19:25:29Z
25,"{'id': None, 'name': 'BBC News'}",Young's buzzer-beater seals win for Atlanta Hawks,Trae Young scores a dramatic buzzer-beater to earn the Atlanta Hawks a thrilling 124-121 win over the Utah Jazz in the NBA.,2025-01-08T07:55:22Z
26,"{'id': None, 'name': 'Yahoo Entertainment'}","Anthony Edwards scores 34 in Timberwolves' blowout of Nuggets, Nikola Jokić's triple-double streak ends","Since knocking Denver out of last season's playoffs, Minnesota has won the next two regular-season matchups.",2025-01-25T22:26:50Z
27,"{'id': 'espn', 'name': 'ESPN'}","Risers and fallers: Kawhi Leonard, Bradley Beal make the list","Steve Alexander highlights five names trending upwards and four downwards, with key takeaways for each.",2025-01-31T19:57:54Z
28,"{'id': 'fox-sports', 'name': 'Fox Sports'}",What the Lakers trading for Luka Dončić means for LeBron James,"The Los Angeles Lakers and Dallas Mavericks made one of the most shocking trades in NBA history on Saturday, and it didn't involve LeBron James' input.",2025-02-02T08:07:44Z
29,"{'id': None, 'name': 'CBS Sports'}",Hawks' Trae Young sinks Jazz with incredible halfcourt game-winner as his season of extremes continues,Young's passing and shooting have been on opposite ends of the spectrum this season,2025-01-08T05:51:22Z
30,"{'id': None, 'name': 'CBS Sports'}",Lakers' LeBron James becomes second player ever with a triple-double after turning 40 years old,"James put up 21 points, 10 rebounds and 13 assists in the Lakers' win over the Wizards",2025-01-22T07:04:04Z
31,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Tuesday,André Snellings breaks down the top fantasy streamers and his favorite bets for the NBA slate on Tuesday.,2025-01-21T16:09:12Z
32,"{'id': None, 'name': 'Yahoo Entertainment'}",Nuggets vs Mavericks Game Highlights,"The Nuggets defeated the Mavericks, 112-101. Nuggets Top Performers Nikola Jokić – 19 points, 18 rebounds, 9 assists 27th double-double of the season Russell Westbrook – 21 points, 10 rebounds, 7 assists Mavericks Top Performers Klay Thompson – 25 points, 6 r…",2025-01-12T22:53:40Z
33,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Saturday,Jim McCormick breaks down Saturday's games and offers his top fantasy streamers and favorite bets for the nine-game slate.,2025-02-01T16:00:21Z
34,"{'id': None, 'name': 'Yahoo Entertainment'}",Rockets vs Nuggets Game Highlights,"The Rockets win their fifth straight game and 7th straight on the road as they defeated the undermanned Nuggets, 128-108 tonight. Houston Top Performers Jalen Green – 34 points, 5 assists Six straight games of 25+ PTS Alperen Sengun – 20 points, 9 rebounds, 8…",2025-01-16T06:00:04Z
35,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",Re-Grading Last Season's Biggest NBA Trades 1 Year Later,"Now that we've got nearly a year of distance from some of the 2023-24 NBA season's most impactful trades, it's a lot easier to evaluate the plusses and…",2025-01-08T13:16:10Z
36,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",Nuggets' Jamal Murray Makes MVP Case for Nikola Jokić: 'Hard to Deny His Greatness',"Denver Nuggets point guard Jamal Murray believes that Nikola Jokić deserves to win his fourth MVP award in five seasons. ""It's hard to deny his greatness,""…",2025-02-01T20:36:31Z
